,node_ids,timestamps,node_type_id
350,5500.0,789.4999999999299,Pyr in SP layer
351,5600.0,621.2000000000828,Pyr in SP layer
352,5600.0,733.3999999999808,Pyr in SP layer
353,5600.0,783.699999999935,Pyr in SP layer
354,5800.0,608.3000000000945,Pyr in SP layer
355,5800.0,691.5000000000189,Pyr in SP layer
356,5800.0,844.6999999998794,Pyr in SP layer
357,6000.0,515.1000000001793,Pyr in SP layer
358,6000.0,690.2000000000199,Pyr in SP layer
359,6000.0,743.3999999999718,Pyr in SP layer
360,6100.0,668.8000000000395,Pyr in SP layer
361,6250.0,677.8000000000313,Pyr in SP layer
362,6250.0,840.3999999998834,Pyr in SP layer
363,6350.0,621.6000000000824,Pyr in SP layer
364,6450.0,849.2999999998754,Pyr in SP layer
365,6950.0,504.9000000001805,Pyr in SP layer
366,6950.0,542.1000000001548,Pyr in SP layer
367,6950.0,572.2000000001274,Pyr in SP layer
368,7050.0,668.8000000000395,Pyr in SP layer
369,7050.0,832.4999999998906,Pyr in SP layer
370,7150.0,552.2000000001457,Pyr in SP layer
371,7150.0,772.9999999999447,Pyr in SP layer
372,7150.0,960.1999999997744,Pyr in SP layer
373,7200.0,768.4999999999487,Pyr in SP layer
374,7300.0,583.1000000001175,Pyr in SP layer
375,7400.0,505.00000000018053,Pyr in SP layer
376,7400.0,868.8999999998575,Pyr in SP layer
377,7450.0,686.7000000000232,Pyr in SP layer
378,7450.0,789.9999999999292,Pyr in SP layer
379,7450.0,853.2999999998718,Pyr in SP layer
380,7550.0,786.5999999999324,Pyr in SP layer
381,7550.0,841.999999999882,Pyr in SP layer
382,7550.0,907.1999999998227,Pyr in SP layer
383,7800.0,893.6999999998351,Pyr in SP layer
384,8000.0,566.7000000001324,Pyr in SP layer
385,8150.0,503.4000000001802,Pyr in SP layer
386,8200.0,962.2999999997727,Pyr in SP layer
387,8450.0,961.2999999997736,Pyr in SP layer
388,8500.0,502.70000000017995,Pyr in SP layer
389,8500.0,565.2000000001337,Pyr in SP layer
390,8500.0,726.2999999999872,Pyr in SP layer
391,8750.0,554.2000000001436,Pyr in SP layer
392,8750.0,620.6000000000834,Pyr in SP layer
393,8750.0,776.1999999999417,Pyr in SP layer
394,8750.0,837.2999999998863,Pyr in SP layer
395,8750.0,883.7999999998441,Pyr in SP layer
396,8800.0,565.6000000001334,Pyr in SP layer
397,8800.0,688.0000000000219,Pyr in SP layer
398,8850.0,555.9000000001422,Pyr in SP layer
399,9000.0,572.0000000001277,Pyr in SP layer
400,9000.0,622.9000000000813,Pyr in SP layer
401,9150.0,510.30000000018174,Pyr in SP layer
402,9150.0,577.3000000001227,Pyr in SP layer
403,9150.0,734.8999999999794,Pyr in SP layer
404,9150.0,961.6999999997732,Pyr in SP layer
405,9300.0,623.3000000000809,Pyr in SP layer
406,9350.0,574.4000000001254,Pyr in SP layer
407,9350.0,679.1000000000301,Pyr in SP layer
408,9350.0,913.5999999998168,Pyr in SP layer
409,9450.0,954.6999999997796,Pyr in SP layer
410,9700.0,965.19999999977,Pyr in SP layer
411,9800.0,563.9000000001349,Pyr in SP layer
412,9800.0,621.8000000000823,Pyr in SP layer
413,9800.0,682.1000000000274,Pyr in SP layer
414,9800.0,726.499999999987,Pyr in SP layer
415,9800.0,776.5999999999416,Pyr in SP layer
416,9800.0,839.799999999884,Pyr in SP layer
417,9800.0,950.2999999997836,Pyr in SP layer
418,9850.0,732.4999999999817,Pyr in SP layer
419,10000.0,567.0000000001321,Pyr in SP layer
420,10000.0,710.8000000000012,Pyr in SP layer
421,10000.0,751.799999999964,Pyr in SP layer
422,10250.0,624.0000000000803,Pyr in SP layer
423,10500.0,504.7000000001805,Pyr in SP layer
424,10500.0,621.2000000000828,Pyr in SP layer
